culture,count,mean_age,std_age,ci_95,pi_95,ci_lower,ci_upper,pi_lower,pi_upper
"British, Chelsea",303,209.65016501650166,24.53844918456084,2.7630062621231914,48.09536040173924,206.88715875437848,212.41317127862484,161.55480461476242,257.7455254182409
British or French,289,308.8131487889273,59.08479987703292,6.81212986817556,115.80620775898453,302.0010189207518,315.62527865710285,193.0069410299428,424.6193565479118
Tibet,281,477.2775800711744,341.67050935051054,39.94941338186136,669.6741983270007,437.32816668931304,517.2269934530358,-192.3966182558263,1146.951778398175
probably European,279,178.43010752688173,92.22197936915784,10.821523552628335,180.75507956354934,167.6085839742534,189.25163107951005,-2.324972036667617,359.1851870904311
"Greek, South Italian, Apulian",273,2414.0,800.5701231365205,94.96730774943804,1569.11744134758,2319.032692250562,2508.967307749438,844.8825586524199,3983.11744134758
British (American market),267,122.55805243445693,45.70647813561169,5.4824944303363035,89.58469714579891,117.07555800412062,128.04054686479324,32.97335528865801,212.14274958025584
Turkish,261,220.25670498084293,143.13559736737915,17.365347263429076,280.54577084006314,202.89135771741385,237.622052244272,-60.289065859220216,500.80247582090607
"Greek, Laconian",261,4114.409961685824,2605.369469689989,316.0859103034959,5106.524160592378,3798.324051382328,4430.49587198932,-992.1141989065545,9220.934122278202
"Roman, Cypriot",259,1800.903474903475,107.35813763548796,13.074983768734006,210.4219497655564,1787.828491134741,1813.978458672209,1590.4815251379187,2011.3254246690312
"Austrian, Vienna",249,212.08032128514057,63.80092506073903,7.924709909709504,125.04981311904851,204.15561137543108,220.00503119485006,87.03050816609206,337.1301344041891
Javanese,246,264.5569105691057,192.28705904063875,24.029159209278316,376.88263571965194,240.5277513598274,288.586069778384,-112.32572515054625,641.4395462887576
"Italian, Rome",234,256.7350427350427,117.64669543592744,15.073977944173107,230.58752305441777,241.66106479086963,271.80902067921585,26.147519680624953,487.3225657894605
Bactria-Margiana Archaeological Complex,222,4281.076576576576,24.032189781494086,3.161352539612862,47.10309197172841,4277.915224036963,4284.23792911619,4233.973484604848,4328.179668548305
Chimú,215,802.8976744186047,107.35702835223431,14.350509585164607,210.41977557037924,788.5471648334401,817.2481840037692,592.4778988482254,1013.3174499889839
Catalan,213,765.7887323943662,118.18340984676408,15.871675870720846,231.6394832996576,749.9170565236453,781.6604082650871,534.1492490947086,997.4282156940238
"British, Etruria, Staffordshire",210,178.54761904761904,46.50719056455947,6.290230052193341,91.15409350653657,172.25738899542569,184.8378490998124,87.39352554108247,269.7017125541556
Vicús,209,2264.464114832536,92.91202365009443,12.596643762664074,182.10756635418508,2251.867471069872,2277.0607585952,2082.3565484783508,2446.571681186721
Indonesia (Central Java),208,1301.0,0.0,0.0,0.0,1301.0,1301.0,1301.0,1301.0
India (Gujarat),204,550.7205882352941,73.89504851291582,10.140428944610123,144.834295085315,540.580159290684,560.8610171799043,405.8862931499791,695.5548833206092
"Greek, Eastern Mediterranean",200,2253.395,177.4445882083246,24.59256523496432,347.79139288831624,2228.8024347650357,2277.987565234964,1905.6036071116837,2601.1863928883163
Inuit,198,106.04545454545455,284.9176797213761,39.6865069003975,558.4386522538971,66.35894764505704,145.73196144585205,-452.39319770844253,664.4841067993516
"German, Nuremberg",194,327.2783505154639,96.3540795609729,13.558926717233016,188.8539959395069,313.7194237982309,340.8372772326969,138.424354575957,516.1323464549707
Peru; north coast (?),193,1357.6476683937824,286.1373508460979,40.3693697152392,560.8292076583518,1317.2782986785433,1398.0170381090215,796.8184607354306,1918.4768760521342
